City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Windspeed
thompson,CA,90,1619893274,86.0,55.7435,-97.8558,21.2,9.22
rikitea,PF,88,1619893359,79.0,-23.1203,-134.9692,76.48,11.03
kavaratti,IN,11,1619893169,71.0,10.5669,72.642,85.55,6.08
pangnirtung,CA,75,1619893360,57.0,66.1451,-65.7125,44.6,9.22
guiratinga,BR,46,1619893360,46.0,-16.3494,-53.7583,86.97,9.22
vaini,TO,40,1619893306,83.0,-21.2,-175.2,75.2,13.8
ushuaia,AR,20,1619893107,65.0,-54.8,-68.3,44.6,4.61
qaanaaq,GL,92,1619893361,71.0,77.484,-69.3632,35.02,3.31
faanui,PF,83,1619893361,68.0,-16.4833,-151.75,80.6,4.34
arraial do cabo,BR,75,1619893297,73.0,-22.9661,-42.0278,73.4,6.91
port alfred,ZA,0,1619893362,67.0,-33.5906,26.891,62.01,1.99
nikolskoye,RU,20,1619893362,56.0,59.7035,30.7861,43,4.47
los llanos de aridane,ES,75,1619893362,64.0,28.6585,-17.9182,69.8,14.97
bambous virieux,MU,20,1619893362,94.0,-20.3428,57.7575,75,4.61
clyde river,CA,75,1619893363,100.0,70.4692,-68.5914,19.4,2.35
cape town,ZA,0,1619893363,82.0,-33.9258,18.4232,61,8.05
lagoa,PT,100,1619893363,89.0,39.05,-27.9833,59.16,22.44
high rock,BS,75,1619893364,78.0,26.6208,-78.2833,82.4,9.22
kailua,US,75,1619893364,73.0,21.4022,-157.7394,78.8,9.22
yulara,AU,65,1619893365,44.0,-25.2406,130.9889,57.2,8.05
bredasdorp,ZA,6,1619893365,93.0,-34.5322,20.0403,50,2.3
bluff,NZ,3,1619893365,85.0,-46.6,168.3333,48,3
ambulu,ID,78,1619893366,90.0,-8.345,113.6058,75.34,3.29
busselton,AU,74,1619893366,96.0,-33.65,115.3333,57,3.51
kamenka,RU,55,1619893366,85.0,51.3223,42.7678,57.99,5.55
ostrovnoy,RU,100,1619893367,74.0,68.0531,39.5131,25.68,13.11
avarua,CK,75,1619893367,73.0,-21.2078,-159.775,78.8,6.91
feijo,BR,11,1619893367,42.0,-8.1642,-70.3536,90.7,2.39
kontagora,NG,21,1619893368,21.0,10.3999,5.4695,95.38,4.18
maraba,BR,40,1619893368,84.0,-5.3686,-49.1178,86,3.44
longyearbyen,SJ,20,1619893368,63.0,78.2186,15.6401,21.2,9.22
hilo,US,40,1619893369,65.0,19.7297,-155.09,77,3.44
jiuquan,CN,95,1619893369,10.0,39.7432,98.5174,68.05,9.33
cabedelo,BR,40,1619893370,74.0,-6.9811,-34.8339,84.2,12.66
esperance,AU,2,1619893077,82.0,-33.8667,121.9,53.6,9.22
bocas del toro,PA,95,1619893370,98.0,9.3333,-82.25,64.99,6.29
lorengau,PG,76,1619893371,82.0,-2.0226,147.2712,79.47,2.1
xiaoyi,CN,84,1619893372,42.0,34.6178,109.703,71.1,8.14
georgetown,SH,100,1619893372,70.0,-7.9333,-14.4167,78.75,13.38
kapaa,US,20,1619893293,78.0,22.0752,-159.319,77,11.5
bontang,ID,82,1619893373,82.0,0.1333,117.5,79.48,4.68
broome,AU,48,1619893373,94.0,-17.9667,122.2333,73.4,3.44
bauchi,NG,74,1619893373,18.0,10.5,10,94.95,6.4
victoria,SC,40,1619893374,78.0,-4.6167,55.45,82.4,2.3
bethel,US,1,1619893374,38.0,41.3712,-73.414,60.01,10.36
touros,BR,20,1619893374,61.0,-5.1989,-35.4608,84.2,14.97
albany,AU,84,1619893375,100.0,-35.0169,117.8917,50,2.3
hobart,AU,99,1619893219,76.0,-42.8794,147.3294,55,10.36
shahrud,IR,33,1619893375,47.0,36.4182,54.9763,68.18,7.83
bowen,AU,4,1619893077,88.0,-20.0167,148.2333,68,9.22
lewisporte,CA,90,1619893376,76.0,49.2499,-55.0482,48.2,26.46
pevek,RU,100,1619893287,95.0,69.7008,170.3133,7.75,8.25
shitanjing,CN,80,1619893376,31.0,39.2342,106.3439,61.68,11.43
taoudenni,ML,4,1619893376,17.0,22.6783,-3.9836,99.01,2.95
saint-philippe,RE,0,1619893377,78.0,-21.3585,55.7679,75.2,6.91
castro,CL,75,1619893310,82.0,-42.4721,-73.7732,60.01,12.66
kalmunai,LK,100,1619893377,82.0,7.4167,81.8167,80.89,8.55
saint-pierre,RE,0,1619893377,78.0,-21.3393,55.4781,75.2,6.91
lavrentiya,RU,51,1619893378,82.0,65.5833,-171,13.46,4.25
omboue,GA,83,1619893378,86.0,-1.5746,9.2618,79.61,5.73
torbay,CA,75,1619893305,67.0,47.6666,-52.7314,57,29.93
barrow,US,90,1619893277,86.0,71.2906,-156.7887,21.2,10.36
smithers,CA,75,1619893379,57.0,54.7804,-127.1743,48.2,4.61
port elizabeth,ZA,0,1619893195,82.0,-33.918,25.5701,57.2,3.44
cherskiy,RU,35,1619893379,98.0,68.75,161.3,-0.81,2.59
adrar,DZ,46,1619893380,18.0,25.75,-1,90.99,6.91
tasiilaq,GL,90,1619893331,93.0,65.6145,-37.6368,26.6,3.44
tucuman,AR,0,1619893380,47.0,-26.8241,-65.2226,78.8,4.61
tuktoyaktuk,CA,90,1619893380,92.0,69.4541,-133.0374,14,8.05
vanavara,RU,15,1619893134,96.0,60.34,102.2797,29.35,4.32
ancud,CL,75,1619893381,82.0,-41.8697,-73.8203,60.01,12.66
cozumel,MX,40,1619893381,55.0,20.5083,-86.9458,87.8,19.57
puerto ayora,EC,40,1619893382,65.0,-0.7393,-90.3518,82.4,20.71
svetlyy,RU,0,1619893382,65.0,54.675,20.1347,44.6,6.71
broken hill,AU,19,1619893382,51.0,-31.95,141.4333,57.2,8.05
chapais,CA,1,1619893383,36.0,49.7834,-74.8492,42.8,13.8
hermanus,ZA,33,1619893285,75.0,-34.4187,19.2345,59,3
oda,JP,70,1619893383,70.0,35.1833,132.5,52.14,29.77
singojuruh,ID,71,1619893383,93.0,-8.3167,114.2333,72.75,3.27
butaritari,KI,100,1619893384,76.0,3.0707,172.7902,82.36,10.69
seddon,NZ,27,1619893384,98.0,-41.6712,174.0734,39.99,4.94
petropavlovsk-kamchatskiy,RU,90,1619893385,100.0,53.0452,158.6483,32,1.86
winton,NZ,3,1619893385,85.0,-46.15,168.3333,48,3
olafsvik,IS,47,1619893385,65.0,64.8945,-23.7142,37.63,21.41
pisco,PE,0,1619893104,73.0,-13.7,-76.2167,71.6,9.22
umea,SE,0,1619893386,33.0,63.8284,20.2597,41,6.91
nanortalik,GL,19,1619893386,54.0,60.1432,-45.2371,41.04,11.95
ust-kulom,RU,69,1619893386,92.0,61.6864,53.6902,34.95,6.96
cidreira,BR,0,1619893387,60.0,-30.1811,-50.2056,71.01,12.3
vardo,NO,90,1619893387,85.0,70.3705,31.1107,32.34,11.77
saint-francois,GP,20,1619893387,65.0,16.2526,-61.2741,82.4,11.5
bathsheba,BB,20,1619893388,54.0,13.2167,-59.5167,84.2,18.41
gomel,BY,0,1619893388,76.0,52.4345,30.9754,53.6,8.95
jamestown,SH,33,1619893388,77.0,-15.9387,-5.7168,70.16,17.9
orsk,RU,0,1619893389,53.0,51.2049,58.5668,50,11.18
norman wells,CA,20,1619893389,48.0,65.282,-126.8329,41,5.75
grand gaube,MU,11,1619893389,88.0,-20.0064,57.6608,75,3
yellowknife,CA,20,1619893390,63.0,62.456,-114.3525,27,10.36
atuona,PF,6,1619893390,74.0,-9.8,-139.0333,78.44,8.93
lompoc,US,40,1619893390,82.0,34.6391,-120.4579,64,10.36
hay river,CA,100,1619893386,86.0,60.8156,-115.7999,26.6,10.36
quatre cocos,MU,20,1619893391,94.0,-20.2078,57.7625,75,4.61
ourinhos,BR,49,1619893383,39.0,-22.9789,-49.8706,81.95,7.56
san jeronimo,MX,0,1619893391,22.0,29.3707,-110.79,93.99,3
margate,ZA,15,1619893392,79.0,-30.8636,30.3705,64.4,8.41
bandarbeyla,SO,100,1619893392,72.0,9.4942,50.8122,84.61,11.77
saint george,BM,20,1619893392,60.0,32.3817,-64.6781,69.8,19.57
leningradskiy,RU,100,1619893392,88.0,69.3833,178.4167,14.72,21.21
east london,ZA,0,1619893393,88.0,-33.0153,27.9116,57.2,6.91
kaitangata,NZ,2,1619893393,69.0,-46.2817,169.8464,48,5.99
vallenar,CL,45,1619893393,24.0,-28.5708,-70.7581,77.32,7.09
